epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,313.988,1.63922,1.14242,1.67584,0.87746,0.74225,0.84408,0.44244,1.64496,1.10464,1.66032,0.0011882,0.0011882,0.0011882
43,319.566,1.62311,1.11559,1.67339,0.87406,0.76173,0.82732,0.42126,1.6742,1.09171,1.64669,0.0011684,0.0011684,0.0011684
44,327.543,1.60896,1.09422,1.69172,0.85627,0.76286,0.87182,0.46419,1.66639,1.07726,1.66698,0.0011486,0.0011486,0.0011486
45,334.761,1.63186,1.11912,1.69112,0.69511,0.65854,0.69801,0.28462,1.92057,1.22158,1.80616,0.0011288,0.0011288,0.0011288
46,341.005,1.61773,1.14843,1.67689,0.81004,0.77439,0.82238,0.40813,1.62899,1.13778,1.59914,0.001109,0.001109,0.001109
47,349.75,1.60287,1.13005,1.6532,0.85179,0.77439,0.86396,0.45294,1.5991,1.06627,1.5841,0.0010892,0.0010892,0.0010892
48,355.481,1.62416,1.11639,1.67645,0.77959,0.78049,0.85315,0.46059,1.56116,1.15929,1.57212,0.0010694,0.0010694,0.0010694
49,363.271,1.6345,1.12818,1.67112,0.86271,0.76632,0.87026,0.46541,1.57332,1.07385,1.59572,0.0010496,0.0010496,0.0010496
50,370.193,1.58735,1.13931,1.62815,0.87036,0.73685,0.83333,0.44132,1.6716,1.13151,1.63976,0.0010298,0.0010298,0.0010298
51,376.139,1.5858,1.07762,1.61742,0.82629,0.78049,0.85869,0.44669,1.65205,1.08882,1.59809,0.00101,0.00101,0.00101
52,385.074,1.5681,1.06242,1.62341,0.83683,0.78182,0.8625,0.4556,1.58906,1.09843,1.57006,0.0009902,0.0009902,0.0009902
53,391.275,1.59643,1.1052,1.63636,0.82227,0.73348,0.85433,0.45542,1.68666,1.06682,1.61831,0.0009704,0.0009704,0.0009704
54,398.895,1.57119,1.0407,1.60509,0.89015,0.79268,0.86841,0.45131,1.64217,1.03068,1.59655,0.0009506,0.0009506,0.0009506
55,406.315,1.54338,1.0246,1.55587,0.90873,0.78927,0.87433,0.46935,1.61182,1.01501,1.58909,0.0009308,0.0009308,0.0009308
56,412.466,1.57341,1.07501,1.64305,0.86312,0.73054,0.83382,0.44032,1.70294,1.17758,1.64554,0.000911,0.000911,0.000911
57,421.401,1.55146,1.05312,1.63767,0.87584,0.81098,0.89553,0.47259,1.63149,0.97722,1.60258,0.0008912,0.0008912,0.0008912
58,427.262,1.52944,1.06465,1.62814,0.92758,0.77439,0.8932,0.47632,1.60418,0.99463,1.58274,0.0008714,0.0008714,0.0008714
59,435.081,1.57424,1.06163,1.6116,0.86769,0.78659,0.87309,0.46579,1.64749,1.00341,1.58197,0.0008516,0.0008516,0.0008516
60,442.236,1.51537,1.04955,1.62158,0.90742,0.81098,0.90093,0.47366,1.62754,0.97773,1.58454,0.0008318,0.0008318,0.0008318
61,448.115,1.53686,1.00111,1.55316,0.90885,0.81707,0.89882,0.47577,1.58285,1.02204,1.56413,0.000812,0.000812,0.000812
62,457.889,1.53408,1.01317,1.59071,0.89179,0.77439,0.88384,0.47657,1.62332,0.98138,1.5869,0.0007922,0.0007922,0.0007922
63,463.742,1.5442,1.00548,1.57783,0.88543,0.79268,0.89528,0.49264,1.62411,0.9567,1.57866,0.0007724,0.0007724,0.0007724
64,471.41,1.49051,0.98464,1.55157,0.90024,0.82537,0.92,0.50128,1.55545,0.96069,1.53599,0.0007526,0.0007526,0.0007526
65,479.203,1.48824,0.96653,1.54324,0.91897,0.76073,0.87175,0.45815,1.62413,1.00832,1.57028,0.0007328,0.0007328,0.0007328
66,485.963,1.52917,1.03002,1.6116,0.88259,0.81707,0.8847,0.48071,1.61112,0.94351,1.55812,0.000713,0.000713,0.000713
67,495.774,1.5155,1.02849,1.59232,0.90039,0.79878,0.89952,0.48063,1.62253,0.96695,1.57603,0.0006932,0.0006932,0.0006932
68,501.865,1.50577,1.00161,1.55371,0.88982,0.7879,0.89996,0.44453,1.65471,1.00269,1.57341,0.0006734,0.0006734,0.0006734
69,512.302,1.47896,0.96797,1.52257,0.84391,0.87195,0.90711,0.47778,1.63364,0.93458,1.57409,0.0006536,0.0006536,0.0006536
70,518.771,1.46582,0.96916,1.56085,0.90725,0.83506,0.89822,0.49567,1.63106,0.94648,1.56649,0.0006338,0.0006338,0.0006338
71,525.974,1.46098,0.90998,1.4986,0.88572,0.85066,0.89777,0.46778,1.64718,0.97903,1.5815,0.000614,0.000614,0.000614
72,533.766,1.49226,0.99246,1.58829,0.90136,0.76829,0.86296,0.40677,1.80762,1.03409,1.68688,0.0005942,0.0005942,0.0005942
73,539.854,1.48129,0.95737,1.55195,0.91487,0.80488,0.90959,0.50188,1.58326,0.91578,1.54049,0.0005744,0.0005744,0.0005744
74,548.672,1.48421,0.97624,1.57547,0.90825,0.82927,0.91553,0.49687,1.57395,0.91574,1.54519,0.0005546,0.0005546,0.0005546
75,554.718,1.47391,0.97752,1.56105,0.92811,0.78716,0.89064,0.47037,1.64955,0.96214,1.58394,0.0005348,0.0005348,0.0005348
76,561.77,1.47794,0.96161,1.5504,0.89354,0.8189,0.88674,0.48575,1.63189,0.92833,1.56883,0.000515,0.000515,0.000515
77,570.124,1.46317,0.93977,1.52712,0.95596,0.81098,0.89853,0.4888,1.60277,0.93847,1.5546,0.0004952,0.0004952,0.0004952
78,576.091,1.43019,0.93994,1.5186,0.94328,0.81125,0.89993,0.49439,1.62491,0.92911,1.55198,0.0004754,0.0004754,0.0004754
79,584.444,1.4611,0.92904,1.535,0.92587,0.82927,0.90672,0.48243,1.61405,0.93508,1.56124,0.0004556,0.0004556,0.0004556
