                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4774,                 3.7228,                 4.2506,                 0.0028,                0.02532,                0.00144,                0.00029,                 4.1422,                 3.6416,                 4.1592,                      0,                      0,                      0
                      2,                 4.8013,                 3.7003,                 4.2729,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1421,                 3.6417,                 4.1595,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 4.5536,                 3.6947,                 4.2613,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1422,                 3.6388,                 4.1597,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 4.3838,                 3.6989,                 4.2228,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1421,                  3.639,                 4.1601,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 4.8004,                 3.6861,                 4.2458,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1421,                  3.639,                 4.1603,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 4.5507,                 3.6884,                 4.2438,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1427,                 3.6394,                 4.1602,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 4.7377,                 3.6182,                 4.2127,                0.00274,                0.02532,                0.00142,                0.00025,                 4.1424,                 3.6334,                 4.1596,             0.00011287,             0.00011287,             0.00011287
                      8,                  3.922,                 3.6181,                 4.2427,                0.00273,                0.02532,                0.00142,                0.00025,                 4.1428,                 3.6338,                 4.1601,              0.0001303,              0.0001303,              0.0001303
                      9,                 4.4764,                 3.6268,                 4.2286,                0.00276,                0.02532,                0.00145,                0.00025,                 4.1428,                 3.6339,                   4.16,             0.00014733,             0.00014733,             0.00014733
                     10,                 4.6017,                 3.5925,                 4.2254,                0.00277,                0.02532,                0.00144,                0.00029,                 4.1423,                 3.6361,                 4.1594,             0.00016396,             0.00016396,             0.00016396
                     11,                 4.1254,                  3.579,                 4.2542,                0.00275,                0.02532,                0.00143,                0.00025,                 4.1423,                 3.6361,                 4.1588,              0.0001802,              0.0001802,              0.0001802
                     12,                 4.5143,                 3.5661,                 4.2346,                0.00278,                0.02532,                0.00144,                0.00025,                 4.1423,                 3.6361,                 4.1586,             0.00019604,             0.00019604,             0.00019604
                     13,                 4.5188,                 3.4881,                 4.2383,                0.00278,                0.02532,                0.00144,                0.00025,                 4.1423,                 3.6362,                 4.1588,             0.00021149,             0.00021149,             0.00021149
                     14,                 4.2144,                  3.442,                 4.1988,                0.00284,                0.02532,                0.00147,                 0.0003,                 4.1423,                 3.6389,                 4.1579,             0.00022654,             0.00022654,             0.00022654
