                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 4.4812,                 3.4455,                 4.1803,                0.00214,                0.01899,                0.00109,                0.00033,                 4.1423,                 3.6418,                 4.1575,             0.00024119,             0.00024119,             0.00024119
                     16,                 4.1504,                 3.4227,                  4.163,                0.00278,                0.02532,                0.00144,                0.00025,                  4.141,                 3.6406,                  4.157,             0.00025545,             0.00025545,             0.00025545
                     17,                 4.6173,                 3.2963,                 4.1514,                0.00285,                0.02532,                0.00146,                0.00033,                 4.1409,                 3.6434,                 4.1565,             0.00026931,             0.00026931,             0.00026931
                     18,                 4.1336,                 3.2096,                 4.1527,                0.00285,                0.02532,                0.00146,                0.00033,                 4.1409,                 3.6434,                 4.1565,             0.00028278,             0.00028278,             0.00028278
                     19,                 4.5953,                 3.1976,                 4.1467,                0.00215,                0.01899,                0.00109,                0.00033,                 4.1394,                 3.6444,                 4.1554,             0.00029585,             0.00029585,             0.00029585
                     20,                 4.2063,                 3.1507,                 4.1215,                0.00215,                0.01899,                0.00109,                0.00033,                 4.1394,                 3.6444,                 4.1554,             0.00030852,             0.00030852,             0.00030852
                     21,                 4.5021,                 3.1339,                 4.1059,                0.00285,                0.02532,                0.00146,                0.00033,                 4.1382,                  3.649,                 4.1543,              0.0003208,              0.0003208,              0.0003208
                     22,                 4.5932,                 3.0819,                 4.0793,                0.00285,                0.02532,                0.00146,                0.00033,                 4.1382,                  3.649,                 4.1543,             0.00033268,             0.00033268,             0.00033268
                     23,                 4.4304,                 3.0301,                 4.0929,                0.00283,                0.02532,                0.00145,                0.00029,                 4.1382,                 3.6492,                 4.1543,             0.00034417,             0.00034417,             0.00034417
                     24,                 4.2775,                 3.1045,                 4.1121,                0.00283,                0.02532,                0.00145,                0.00029,                 4.1382,                 3.6492,                 4.1543,             0.00035526,             0.00035526,             0.00035526
                     25,                  4.321,                 3.0517,                 4.0794,                0.00352,                0.03165,                0.00182,                0.00029,                 4.1386,                 3.6568,                 4.1538,             0.00036595,             0.00036595,             0.00036595
                     26,                 4.1173,                 2.8178,                 4.0602,                0.00352,                0.03165,                0.00182,                0.00029,                 4.1386,                 3.6568,                 4.1538,             0.00037625,             0.00037625,             0.00037625
                     27,                 3.8376,                 2.9997,                 4.1295,                 0.0035,                0.03165,                 0.0018,                0.00039,                 4.1406,                 3.6637,                 4.1534,             0.00038615,             0.00038615,             0.00038615
                     28,                 4.4339,                 2.8866,                 4.0157,                 0.0035,                0.03165,                 0.0018,                0.00039,                 4.1406,                 3.6637,                 4.1534,             0.00039566,             0.00039566,             0.00039566
                     29,                 3.7514,                 2.7873,                 4.0661,                0.00351,                0.03165,                0.00181,                0.00039,                 4.1457,                 3.6773,                 4.1555,             0.00040477,             0.00040477,             0.00040477
                     30,                 3.9451,                 2.6773,                 4.0567,                0.00351,                0.03165,                0.00181,                0.00039,                 4.1457,                 3.6773,                 4.1555,             0.00041348,             0.00041348,             0.00041348
                     31,                 4.2602,                 2.8394,                 4.0019,                0.00348,                0.03165,                 0.0018,                0.00043,                 4.1477,                 3.6941,                 4.1572,              0.0004218,              0.0004218,              0.0004218
                     32,                  4.465,                 2.7671,                 3.9202,                0.00348,                0.03165,                 0.0018,                0.00043,                 4.1477,                 3.6941,                 4.1572,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.8016,                 2.7198,                 4.0354,                0.00344,                0.03165,                0.00178,                0.00039,                 4.1533,                 3.7189,                 4.1603,             0.00043725,             0.00043725,             0.00043725
                     34,                 4.0758,                 2.5874,                 3.9214,                0.00344,                0.03165,                0.00178,                0.00039,                 4.1533,                 3.7189,                 4.1603,             0.00044438,             0.00044438,             0.00044438
                     35,                  3.819,                 2.6172,                  3.937,                0.00342,                0.03165,                0.00177,                0.00042,                 4.1615,                 3.7443,                 4.1648,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.8991,                 2.5318,                 3.9153,                0.00342,                0.03165,                0.00177,                0.00042,                 4.1615,                 3.7443,                 4.1648,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.7734,                 2.4613,                 3.9101,                0.00281,                0.02532,                0.00145,                0.00036,                 4.1681,                 3.7778,                 4.1723,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.6944,                 2.4814,                 3.8351,                0.00281,                0.02532,                0.00145,                0.00036,                 4.1681,                 3.7778,                 4.1723,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.5205,                 2.5696,                 3.9229,                0.00345,                0.03165,                0.00178,                0.00032,                 4.1765,                 3.8037,                 4.1795,             0.00047409,             0.00047409,             0.00047409
                     40,                 3.9922,                 2.4863,                 3.8026,                0.00345,                0.03165,                0.00178,                0.00032,                 4.1765,                 3.8037,                 4.1795,             0.00047884,             0.00047884,             0.00047884
                     41,                 3.6312,                 2.4658,                 3.8213,                0.00281,                0.02532,                0.00144,                 0.0004,                 4.1858,                 3.8162,                 4.1848,              0.0004832,              0.0004832,              0.0004832
                     42,                 3.5763,                 2.5509,                 3.8201,                0.00281,                0.02532,                0.00144,                 0.0004,                 4.1858,                 3.8162,                 4.1848,             0.00048716,             0.00048716,             0.00048716
                     43,                 3.3316,                 2.4832,                  3.897,                 0.0028,                0.02532,                0.00146,                0.00036,                 4.1899,                 3.8182,                  4.189,             0.00049073,             0.00049073,             0.00049073
                     44,                  3.913,                 2.3805,                 3.7108,                 0.0028,                0.02532,                0.00146,                0.00036,                 4.1899,                 3.8182,                  4.189,              0.0004939,              0.0004939,              0.0004939
                     45,                  3.671,                 2.4178,                 3.7586,                0.00343,                0.03165,                0.00178,                0.00042,                 4.1939,                 3.8281,                 4.1942,             0.00049667,             0.00049667,             0.00049667
                     46,                 3.5448,                 2.3662,                 3.7079,                0.00343,                0.03165,                0.00178,                0.00042,                 4.1939,                 3.8281,                 4.1942,             0.00049905,             0.00049905,             0.00049905
                     47,                 3.5219,                 2.4461,                 3.7174,                0.00346,                0.03165,                0.00179,                0.00036,                 4.2116,                 3.8699,                 4.2096,             0.00050103,             0.00050103,             0.00050103
                     48,                 4.0326,                  2.363,                 3.6261,                0.00346,                0.03165,                0.00179,                0.00036,                 4.2116,                 3.8699,                 4.2096,             0.00050262,             0.00050262,             0.00050262
                     49,                 3.4358,                 2.2982,                 3.6455,                0.00409,                0.03797,                0.00215,                0.00035,                 4.2499,                 3.9534,                   4.24,             0.00050381,             0.00050381,             0.00050381
                     50,                 3.5222,                 2.3912,                 3.6281,                0.00409,                0.03797,                0.00215,                0.00035,                 4.2499,                 3.9534,                   4.24,              0.0005046,              0.0005046,              0.0005046
                     51,                 3.7782,                 2.3676,                 3.6109,                0.00347,                0.03165,                0.00179,                0.00043,                 4.2766,                 4.0056,                 4.2609,               0.000505,               0.000505,               0.000505
                     52,                  3.328,                 2.3087,                 3.5336,                0.00347,                0.03165,                0.00179,                0.00043,                 4.2766,                 4.0056,                 4.2609,               0.000505,               0.000505,               0.000505
                     53,                 3.3072,                  2.235,                 3.5935,                0.00347,                0.03165,                0.00179,                0.00043,                 4.2766,                 4.0056,                 4.2609,             0.00050461,             0.00050461,             0.00050461
                     54,                 3.4569,                 2.1955,                 3.5282,                 0.0049,                 0.0443,                 0.0026,                0.00044,                  4.284,                 4.0075,                 4.2686,             0.00050382,             0.00050382,             0.00050382
                     55,                 3.4777,                 2.2133,                 3.5652,                 0.0049,                 0.0443,                 0.0026,                0.00044,                  4.284,                 4.0075,                 4.2686,             0.00050263,             0.00050263,             0.00050263
                     56,                  3.316,                 2.2235,                  3.569,                 0.0049,                 0.0443,                 0.0026,                0.00044,                  4.284,                 4.0075,                 4.2686,             0.00050105,             0.00050105,             0.00050105
                     57,                 3.7978,                  2.237,                 3.4756,                0.00351,                0.03165,                0.00188,                 0.0004,                 4.2961,                 4.0064,                 4.2782,             0.00049907,             0.00049907,             0.00049907
                     58,                  3.235,                 2.1677,                 3.4965,                0.00351,                0.03165,                0.00188,                 0.0004,                 4.2961,                 4.0064,                 4.2782,              0.0004967,              0.0004967,              0.0004967
                     59,                 3.3829,                 2.0766,                 3.4232,                0.00351,                0.03165,                0.00188,                 0.0004,                 4.2961,                 4.0064,                 4.2782,             0.00049393,             0.00049393,             0.00049393
                     60,                 3.6015,                 2.2631,                 3.4318,                0.00213,                0.01899,                0.00112,                0.00037,                 4.2912,                 3.9693,                 4.2749,             0.00049076,             0.00049076,             0.00049076
                     61,                 3.1644,                 2.1298,                 3.4672,                0.00213,                0.01899,                0.00112,                0.00037,                 4.2912,                 3.9693,                 4.2749,              0.0004872,              0.0004872,              0.0004872
                     62,                 3.5248,                 2.3004,                 3.4262,                0.00213,                0.01899,                0.00112,                0.00037,                 4.2912,                 3.9693,                 4.2749,             0.00048324,             0.00048324,             0.00048324
                     63,                 3.0716,                 2.0828,                  3.469,                0.00423,                0.03797,                0.00222,                0.00051,                 4.3038,                 3.9769,                 4.2862,             0.00047889,             0.00047889,             0.00047889
                     64,                 3.4817,                 2.0616,                 3.3325,                0.00423,                0.03797,                0.00222,                0.00051,                 4.3038,                 3.9769,                 4.2862,             0.00047414,             0.00047414,             0.00047414
                     65,                    3.3,                 2.1954,                 3.4689,                0.00423,                0.03797,                0.00222,                0.00051,                 4.3038,                 3.9769,                 4.2862,             0.00046899,             0.00046899,             0.00046899
                     66,                 3.1417,                 2.0562,                 3.4198,                0.00421,                0.03797,                 0.0022,                0.00058,                 4.3151,                 3.9747,                 4.2938,             0.00046345,             0.00046345,             0.00046345
                     67,                  3.552,                 2.1367,                 3.3659,                0.00421,                0.03797,                 0.0022,                0.00058,                 4.3151,                 3.9747,                 4.2938,             0.00045751,             0.00045751,             0.00045751
                     68,                 3.1014,                  2.328,                 3.4386,                0.00421,                0.03797,                 0.0022,                0.00058,                 4.3151,                 3.9747,                 4.2938,             0.00045118,             0.00045118,             0.00045118
                     69,                 3.0693,                 2.2608,                 3.3999,                0.00491,                 0.0443,                0.00257,                0.00062,                 4.3125,                 3.9477,                 4.2916,             0.00044445,             0.00044445,             0.00044445
                     70,                 2.9513,                 2.0418,                 3.3017,                0.00491,                 0.0443,                0.00257,                0.00062,                 4.3125,                 3.9477,                 4.2916,             0.00043732,             0.00043732,             0.00043732
                     71,                  3.303,                 2.2796,                 3.3607,                0.00491,                 0.0443,                0.00257,                0.00062,                 4.3125,                 3.9477,                 4.2916,              0.0004298,              0.0004298,              0.0004298
                     72,                 3.2382,                 2.1193,                 3.3075,                0.00498,                 0.0443,                0.00264,                0.00052,                 4.3342,                 3.9802,                 4.3102,             0.00042188,             0.00042188,             0.00042188
                     73,                 3.1027,                  2.207,                 3.4524,                0.00498,                 0.0443,                0.00264,                0.00052,                 4.3342,                 3.9802,                 4.3102,             0.00041357,             0.00041357,             0.00041357
                     74,                 3.0246,                 2.2069,                 3.4418,                0.00498,                 0.0443,                0.00264,                0.00052,                 4.3342,                 3.9802,                 4.3102,             0.00040486,             0.00040486,             0.00040486
                     75,                 3.3597,                 2.0323,                 3.2683,                0.00425,                0.03797,                0.00231,                0.00052,                 4.3625,                 4.0675,                 4.3438,             0.00039575,             0.00039575,             0.00039575
                     76,                 3.3622,                 2.0656,                 3.2286,                0.00425,                0.03797,                0.00231,                0.00052,                 4.3625,                 4.0675,                 4.3438,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.9732,                 2.0845,                  3.304,                0.00425,                0.03797,                0.00231,                0.00052,                 4.3625,                 4.0675,                 4.3438,             0.00037635,             0.00037635,             0.00037635
                     78,                 3.1612,                  2.072,                 3.2099,                0.00355,                0.03165,                0.00191,                0.00041,                 4.3796,                 4.1277,                 4.3658,             0.00036606,             0.00036606,             0.00036606
                     79,                 3.1918,                 2.1065,                 3.2933,                0.00355,                0.03165,                0.00191,                0.00041,                 4.3796,                 4.1277,                 4.3658,             0.00035537,             0.00035537,             0.00035537
                     80,                 3.0216,                 2.0656,                 3.2636,                0.00355,                0.03165,                0.00191,                0.00041,                 4.3796,                 4.1277,                 4.3658,             0.00034428,             0.00034428,             0.00034428
                     81,                  3.219,                  2.037,                 3.2532,                0.00429,                0.03797,                0.00235,                0.00042,                 4.3834,                 4.1217,                 4.3726,              0.0003328,              0.0003328,              0.0003328
                     82,                 3.1445,                 2.2105,                 3.2719,                0.00429,                0.03797,                0.00235,                0.00042,                 4.3834,                 4.1217,                 4.3726,             0.00032092,             0.00032092,             0.00032092
                     83,                 3.1604,                 2.0686,                 3.2399,                0.00429,                0.03797,                0.00235,                0.00042,                 4.3834,                 4.1217,                 4.3726,             0.00030865,             0.00030865,             0.00030865
                     84,                 3.2406,                 2.0723,                 3.1989,                0.00383,                0.03165,                0.00208,                0.00037,                 4.3566,                 4.0075,                 4.3402,             0.00029598,             0.00029598,             0.00029598
                     85,                 3.2152,                 2.0113,                 3.1338,                0.00383,                0.03165,                0.00208,                0.00037,                 4.3566,                 4.0075,                 4.3402,             0.00028291,             0.00028291,             0.00028291
                     86,                 3.3217,                 1.9244,                 3.1403,                0.00383,                0.03165,                0.00208,                0.00037,                 4.3566,                 4.0075,                 4.3402,             0.00026945,             0.00026945,             0.00026945
                     87,                 3.1682,                 2.0888,                 3.2033,                0.00383,                0.03165,                0.00208,                0.00037,                 4.3566,                 4.0075,                 4.3402,             0.00025559,             0.00025559,             0.00025559
                     88,                 3.4293,                 2.1398,                 3.1615,                0.00463,                0.03797,                0.00243,                 0.0006,                 4.3082,                 3.8425,                  4.288,             0.00024134,             0.00024134,             0.00024134
                     89,                 3.0687,                 2.1751,                 3.2401,                0.00463,                0.03797,                0.00243,                 0.0006,                 4.3082,                 3.8425,                  4.288,             0.00022669,             0.00022669,             0.00022669
                     90,                   3.17,                 1.9846,                 3.1146,                0.00463,                0.03797,                0.00243,                 0.0006,                 4.3082,                 3.8425,                  4.288,             0.00021164,             0.00021164,             0.00021164
                     91,                 3.1139,                 2.3617,                 3.2378,                0.00463,                0.03797,                0.00243,                 0.0006,                 4.3082,                 3.8425,                  4.288,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.8096,                  2.221,                  3.166,                0.01065,                0.09494,                0.00585,                0.00171,                 4.2572,                 3.6778,                 4.2334,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.9059,                 2.2787,                 3.0632,                0.01065,                0.09494,                0.00585,                0.00171,                 4.2572,                 3.6778,                 4.2334,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.7125,                 2.1127,                 3.1609,                0.01065,                0.09494,                0.00585,                0.00171,                 4.2572,                 3.6778,                 4.2334,              0.0001475,              0.0001475,              0.0001475
                     95,                 2.9237,                 2.2241,                  3.152,                0.01065,                0.09494,                0.00585,                0.00171,                 4.2572,                 3.6778,                 4.2334,             0.00013047,             0.00013047,             0.00013047
                     96,                 2.8124,                 2.2425,                 3.1819,                  0.012,                0.11392,                 0.0075,                0.00243,                 4.1933,                 3.5086,                 4.1727,             0.00011305,             0.00011305,             0.00011305
                     97,                   2.65,                 2.1192,                 3.0871,                  0.012,                0.11392,                 0.0075,                0.00243,                 4.1933,                 3.5086,                 4.1727,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 2.7617,                 2.1484,                 3.1913,                  0.012,                0.11392,                 0.0075,                0.00243,                 4.1933,                 3.5086,                 4.1727,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.9114,                  2.194,                 3.1711,                  0.012,                0.11392,                 0.0075,                0.00243,                 4.1933,                 3.5086,                 4.1727,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                  2.806,                 2.2237,                 3.1872,                  0.016,                 0.1519,                0.01159,                0.00321,                 4.1376,                 3.3702,                 4.1211,             3.9402e-05,             3.9402e-05,             3.9402e-05
